MARU Site ID,New Site #,Sample Rate,Duty Cycle (minutes),Depth (m),Latitude (°),Longitude,Start Analysis Date,End Analysis Date,Total Days
HF-1,1,8 kHz,5.25 on / 24.75 off,971,27.634,-91.71833,7/4/10,11/6/10,126
HF-1,1,8 kHz,5.25 on / 24.75 off,972,27.63395,-91.71925,11/8/10,4/26/11,170
HF-1,1,20 kHz,15 on / 45 off,970,27.63395,-91.71942,5/12/11,10/4/11,146
HF-1,1,20 kHz,15 on / 45 off,965,27.635917,-91.724417,11/13/11,2/22/12,102
HF-2,2,8 kHz,5.25 on / 24.75 off,771,27.67,-91.32533,7/4/10,11/6/10,126
HF-2,2,8 kHz,5.25 on / 24.75 off,772,27.67008,-91.32678,2/14/11,4/27/11,73
HF-2,2,20 kHz,15 on / 45 off,770,27.67012,-91.32688,5/11/11,10/4/11,147
HF-2,2,20 kHz,15 on / 45 off,800,27.670417,-91.32585,11/13/11,2/5/12,85
HF-3,3,8 kHz,5.25 on / 24.75 off,658,27.78383,-90.917,7/4/10,9/7/10,66
HF-3,3,8 kHz,5.25 on / 24.75 off,673,27.78368,-90.9181,11/9/10,4/27/11,170
HF-3,3,20 kHz,15 on / 45 off,670,27.78373,-90.91823,5/11/11,9/26/11,138
HF-3,3,20 kHz,15 on / 45 off,685,27.78368,-90.918133,11/13/11,2/26/12,106
HF-4,4,8 kHz,5.25 on / 24.75 off,826,27.85067,-90.38783,7/3/10,11/7/10,128
HF-4,4,8 kHz,5.25 on / 24.75 off,820,27.852,-90.3892,11/9/10,3/30/11,142
HF-4,4,20 kHz,15 on / 45 off,820,27.8521,-90.38926,5/11/11,10/4/11,146
HF-4,4,20 kHz,15 on / 45 off,831,27.8533,-90.390383,11/13/11,2/27/12,107
HF-6,5,8 kHz,5.25 on / 24.75 off,977,28.2535,-89.48667,7/7/10,11/9/10,126
HF-6,5,8 kHz,5.25 on / 24.75 off,1011,28.25385,-89.486,11/11/10,4/16/11,157
HF-6,5,20 kHz,15 on / 45 off,1010,28.2539,-89.48607,5/11/11,10/3/11,145
HF-6,5,20 kHz,15 on / 45 off,986,28.253668,-89.487517,11/14/11,2/27/12,106
HF-7,6,8 kHz,5.25 on / 24.75 off,864,28.55583,-88.8755,7/7/10,11/17/10,134
HF-7,6,8 kHz,5.25 on / 24.75 off,891,28.55493,-88.87485,11/19/10,3/13/11,115
HF-7,6,20 kHz,15 on / 45 off,890,28.55507,-88.8749,5/10/11,10/3/11,147
HF-7,6,20 kHz,15 on / 45 off,888,28.556683,-88.876117,11/14/11,2/27/12,106
HF-8,7,8 kHz,5.25 on / 24.75 off,1037,28.805,-88.53417,7/11/10,11/18/10,131
HF-8,7,8 kHz,5.25 on / 24.75 off,1082,28.8055,-88.53405,NA,NA,NA
HF-8,7,20 kHz,15 on / 45 off,1080,28.8056,-88.53417,5/10/11,10/3/11,147
HF-8,7,20 kHz,15 on / 45 off,1045,28.807183,-88.534667,11/14/11,2/27/12,106
HF-9,8,8 kHz,5.25 on / 24.75 off,1092,29.075,-88.01033,7/12/10,10/8/10,100
HF-9,8,8 kHz,5.25 on / 24.75 off,1119,29.0746,-88.01837,10/10/10,3/24/11,166
HF-9,8,20 kHz,15 on / 45 off,1120,29.0746,-88.0182,5/10/11,10/3/11,147
HF-9,8,20 kHz,15 on / 45 off,1054,29.076017,-88.018717,11/14/11,2/27/12,106
HF-10,9,8 kHz,5.25 on / 24.75 off,1155,29.16817,-87.5805,7/13/10,10/8/10,88
HF-10,9,8 kHz,5.25 on / 24.75 off,1195,29.16767,-87.5807,10/10/10,3/24/11,166
HF-10,9,20 kHz,15 on / 45 off,1200,29.16762,-87.58063,5/10/11,10/3/11,147
HF-10,9,20 kHz,15 on / 45 off,1141,29.168367,-87.580867,11/14/11,2/28/12,107
HF-11,10,8 kHz,5.25 on / 24.75 off,779,29.216,-87.1175,6/22/10,10/9/10,110
HF-11,10,8 kHz,5.25 on / 24.75 off,803,29.2167,-87.11858,10/11/10,3/30/11,171
HF-11,10,20 kHz,15 on / 45 off,800,29.21655,-87.11828,5/10/11,10/3/11,147
HF-11,10,20 kHz,15 on / 45 off,794,29.218533,-87.117583,11/17/11,2/28/12,104
HF-18,11,8 kHz,5.25 on / 24.75 off,1256,28.67983,-87.35667,7/28/10,10/21/10,85
HF-18,11,8 kHz,5.25 on / 24.75 off,1309,28.67988,-87.35833,10/23/10,3/20/11,149
HF-18,11,20 kHz,15 on / 45 off,1300,28.67995,-87.35847,5/9/11,10/1/11,176
HF-18,11,20 kHz,15 on / 45 off,1294,28.680183,-87.35995,11/15/11,12/27/11,43
HF-17,12,8 kHz,5.25 on / 24.75 off,1136,28.25017,-86.83267,7/29/10,10/19/10,83
HF-17,12,8 kHz,5.25 on / 24.75 off,1165,28.2508,-86.83337,10/21/10,4/10/11,172
HF-17,12,20 kHz,15 on / 45 off,1170,28.25095,-86.83291,5/9/11,10/2/11,147
HF-17,12,20 kHz,15 on / 45 off,1460,28.25305,-86.8348,11/15/11,2/28/12,106
HF-19,13,8 kHz,5.25 on / 24.75 off,1108,26.00067,-84.76683,7/30/10,1/1/11,155
HF-19,13,8 kHz,5.25 on / 24.75 off,1110,26.00067,-84.76683,3/4/11,7/11/11,130
HF-19,13,20 kHz,15 on / 45 off,1110,26.00097,-84.76687,7/13/11,12/5/11,146
HF-19,13,NA,NA,NA,NA,NA,NA,NA,NA
HF-20,14,8 kHz,5.25 on / 24.75 off,1081,25.27945,-84.51977,7/30/10,1/10/11,165
HF-20,14,8 kHz,5.25 on / 24.75 off,1080,25.27945,-84.51977,NA,NA,NA
HF-20,14,20 kHz,15 on / 45 off,1080,25.27843,-84.5205,7/13/11,12/5/11,146
HF-20,14,NA,NA,NA,NA,NA,NA,NA,NA
HF-21,15,8 kHz,5.25 on / 24.75 off,1370,24.79562,-84.27557,7/30/10,1/10/11,165
HF-21,15,8 kHz,5.25 on / 24.75 off,1370,24.79562,-84.27557,3/5/11,6/19/11,107
HF-21,15,20 kHz,15 on / 45 off,1370,24.79598,-84.27587,7/13/11,12/5/11,146
HF-21,15,NA,NA,NA,NA,NA,NA,NA,NA
HF-22,16,NA,NA,NA,NA,NA,NA,NA,NA
HF-22,16,8 kHz,5.25 on / 24.75 off,730,24.37768,-83.61407,3/5/11,5/23/11,80
HF-22,16,20 kHz,15 on / 45 off,730,24.37762,-83.61412,7/13/11,12/5/11,146
HF-22,16,NA,NA,NA,NA,NA,NA,NA,NA
