JDate,Julian_Date,Date,Month,Day,Year,Period,Region,Site_HF,Hours_Presence,DayHr,Proportion_Presence,CorrPres
211,211,7/30/10,7,30,2010,P1,West,1,19,24,0.791666667,0.752083333
211,211,7/30/10,7,30,2010,P1,West,2,10,24,0.416666667,0.338541667
211,211,7/30/10,7,30,2010,P1,West,4,12,24,0.5,0.425
211,211,7/30/10,7,30,2010,P1,Central,6,24,24,1,1
211,211,7/30/10,7,30,2010,P1,Central,7,23,24,0.958333333,0.958333333
211,211,7/30/10,7,30,2010,P1,Central,8,22,24,0.916666667,0.771929825
211,211,7/30/10,7,30,2010,P1,Central,9,24,24,1,1
211,211,7/30/10,7,30,2010,P1,Central,10,23,24,0.958333333,0.958333333
211,211,7/30/10,7,30,2010,P1,Central,11,23,24,0.958333333,0.878472222
211,211,7/30/10,7,30,2010,P1,Central,17,18,24,0.75,0.75
211,211,7/30/10,7,30,2010,P1,Central,18,21,24,0.875,0.667763158
211,211,7/30/10,7,30,2010,P1,Tortugas,19,6,24,0.25,0.208333333
211,211,7/30/10,7,30,2010,P1,Tortugas,20,12,24,0.5,0.5
211,211,7/30/10,7,30,2010,P1,Tortugas,21,19,24,0.791666667,0.791666667
212,212,7/31/10,7,31,2010,P1,West,1,12,24,0.5,0.475
212,212,7/31/10,7,31,2010,P1,West,2,15,24,0.625,0.5078125
212,212,7/31/10,7,31,2010,P1,West,4,9,24,0.375,0.31875
212,212,7/31/10,7,31,2010,P1,Central,6,17,24,0.708333333,0.708333333
212,212,7/31/10,7,31,2010,P1,Central,7,24,24,1,1
212,212,7/31/10,7,31,2010,P1,Central,8,13,24,0.541666667,0.456140351
212,212,7/31/10,7,31,2010,P1,Central,9,24,24,1,1
212,212,7/31/10,7,31,2010,P1,Central,10,24,24,1,1
212,212,7/31/10,7,31,2010,P1,Central,11,20,24,0.833333333,0.763888889
212,212,7/31/10,7,31,2010,P1,Central,17,16,24,0.666666667,0.666666667
212,212,7/31/10,7,31,2010,P1,Central,18,24,24,1,0.763157895
212,212,7/31/10,7,31,2010,P1,Tortugas,19,9,24,0.375,0.3125
212,212,7/31/10,7,31,2010,P1,Tortugas,20,6,24,0.25,0.25
212,212,7/31/10,7,31,2010,P1,Tortugas,21,22,24,0.916666667,0.916666667
213,213,8/1/10,8,1,2010,P1,West,1,22,24,0.916666667,0.870833333
213,213,8/1/10,8,1,2010,P1,West,2,17,24,0.708333333,0.575520833
213,213,8/1/10,8,1,2010,P1,West,4,12,24,0.5,0.425
213,213,8/1/10,8,1,2010,P1,Central,6,24,24,1,1
213,213,8/1/10,8,1,2010,P1,Central,7,24,24,1,1
213,213,8/1/10,8,1,2010,P1,Central,8,15,24,0.625,0.526315789
213,213,8/1/10,8,1,2010,P1,Central,9,24,24,1,1
213,213,8/1/10,8,1,2010,P1,Central,10,24,24,1,1
213,213,8/1/10,8,1,2010,P1,Central,11,24,24,1,0.916666667
213,213,8/1/10,8,1,2010,P1,Central,17,21,24,0.875,0.875
213,213,8/1/10,8,1,2010,P1,Central,18,24,24,1,0.763157895
213,213,8/1/10,8,1,2010,P1,Tortugas,19,5,24,0.208333333,0.173611111
213,213,8/1/10,8,1,2010,P1,Tortugas,20,7,24,0.291666667,0.291666667
213,213,8/1/10,8,1,2010,P1,Tortugas,21,24,24,1,1
214,214,8/2/10,8,2,2010,P1,West,1,14,24,0.583333333,0.554166667
214,214,8/2/10,8,2,2010,P1,West,2,15,24,0.625,0.5078125
214,214,8/2/10,8,2,2010,P1,West,4,17,24,0.708333333,0.602083333
214,214,8/2/10,8,2,2010,P1,Central,6,19,24,0.791666667,0.791666667
214,214,8/2/10,8,2,2010,P1,Central,7,23,24,0.958333333,0.958333333
214,214,8/2/10,8,2,2010,P1,Central,8,18,24,0.75,0.631578947
214,214,8/2/10,8,2,2010,P1,Central,9,24,24,1,1
214,214,8/2/10,8,2,2010,P1,Central,10,23,24,0.958333333,0.958333333
214,214,8/2/10,8,2,2010,P1,Central,11,23,24,0.958333333,0.878472222
214,214,8/2/10,8,2,2010,P1,Central,17,21,24,0.875,0.875
214,214,8/2/10,8,2,2010,P1,Central,18,20,24,0.833333333,0.635964912
214,214,8/2/10,8,2,2010,P1,Tortugas,19,14,24,0.583333333,0.486111111
214,214,8/2/10,8,2,2010,P1,Tortugas,20,9,24,0.375,0.375
214,214,8/2/10,8,2,2010,P1,Tortugas,21,15,24,0.625,0.625
215,215,8/3/10,8,3,2010,P1,West,1,18,24,0.75,0.7125
215,215,8/3/10,8,3,2010,P1,West,2,12,24,0.5,0.40625
215,215,8/3/10,8,3,2010,P1,West,4,23,24,0.958333333,0.814583333
215,215,8/3/10,8,3,2010,P1,Central,6,12,24,0.5,0.5
215,215,8/3/10,8,3,2010,P1,Central,7,23,24,0.958333333,0.958333333
215,215,8/3/10,8,3,2010,P1,Central,8,10,24,0.416666667,0.350877193
215,215,8/3/10,8,3,2010,P1,Central,9,24,24,1,1
215,215,8/3/10,8,3,2010,P1,Central,10,24,24,1,1
215,215,8/3/10,8,3,2010,P1,Central,11,21,24,0.875,0.802083333
215,215,8/3/10,8,3,2010,P1,Central,17,15,24,0.625,0.625
215,215,8/3/10,8,3,2010,P1,Central,18,23,24,0.958333333,0.731359649
215,215,8/3/10,8,3,2010,P1,Tortugas,19,8,24,0.333333333,0.277777778
215,215,8/3/10,8,3,2010,P1,Tortugas,20,14,24,0.583333333,0.583333333
215,215,8/3/10,8,3,2010,P1,Tortugas,21,22,24,0.916666667,0.916666667
216,216,8/4/10,8,4,2010,P1,West,1,18,24,0.75,0.7125
216,216,8/4/10,8,4,2010,P1,West,2,20,24,0.833333333,0.677083333
216,216,8/4/10,8,4,2010,P1,West,4,15,24,0.625,0.53125
216,216,8/4/10,8,4,2010,P1,Central,6,12,24,0.5,0.5
216,216,8/4/10,8,4,2010,P1,Central,7,24,24,1,1
216,216,8/4/10,8,4,2010,P1,Central,8,11,24,0.458333333,0.385964912
216,216,8/4/10,8,4,2010,P1,Central,9,24,24,1,1
216,216,8/4/10,8,4,2010,P1,Central,10,24,24,1,1
216,216,8/4/10,8,4,2010,P1,Central,11,21,24,0.875,0.802083333
216,216,8/4/10,8,4,2010,P1,Central,17,20,24,0.833333333,0.833333333
216,216,8/4/10,8,4,2010,P1,Central,18,24,24,1,0.763157895
216,216,8/4/10,8,4,2010,P1,Tortugas,19,10,24,0.416666667,0.347222222
216,216,8/4/10,8,4,2010,P1,Tortugas,20,9,24,0.375,0.375
216,216,8/4/10,8,4,2010,P1,Tortugas,21,24,24,1,1
217,217,8/5/10,8,5,2010,P1,West,1,11,24,0.458333333,0.435416667
217,217,8/5/10,8,5,2010,P1,West,2,15,24,0.625,0.5078125
217,217,8/5/10,8,5,2010,P1,West,4,14,24,0.583333333,0.495833333
217,217,8/5/10,8,5,2010,P1,Central,6,22,24,0.916666667,0.916666667
217,217,8/5/10,8,5,2010,P1,Central,7,23,24,0.958333333,0.958333333
217,217,8/5/10,8,5,2010,P1,Central,8,8,24,0.333333333,0.280701754
217,217,8/5/10,8,5,2010,P1,Central,9,24,24,1,1
217,217,8/5/10,8,5,2010,P1,Central,10,24,24,1,1
217,217,8/5/10,8,5,2010,P1,Central,11,23,24,0.958333333,0.878472222
217,217,8/5/10,8,5,2010,P1,Central,17,18,24,0.75,0.75
217,217,8/5/10,8,5,2010,P1,Central,18,24,24,1,0.763157895
217,217,8/5/10,8,5,2010,P1,Tortugas,19,8,24,0.333333333,0.277777778
217,217,8/5/10,8,5,2010,P1,Tortugas,20,10,24,0.416666667,0.416666667
217,217,8/5/10,8,5,2010,P1,Tortugas,21,21,24,0.875,0.875
218,218,8/6/10,8,6,2010,P1,West,1,14,24,0.583333333,0.554166667
218,218,8/6/10,8,6,2010,P1,West,2,16,24,0.666666667,0.541666667
218,218,8/6/10,8,6,2010,P1,West,4,18,24,0.75,0.6375
218,218,8/6/10,8,6,2010,P1,Central,6,19,24,0.791666667,0.791666667
218,218,8/6/10,8,6,2010,P1,Central,7,23,24,0.958333333,0.958333333
218,218,8/6/10,8,6,2010,P1,Central,8,10,24,0.416666667,0.350877193
218,218,8/6/10,8,6,2010,P1,Central,9,24,24,1,1
218,218,8/6/10,8,6,2010,P1,Central,10,24,24,1,1
218,218,8/6/10,8,6,2010,P1,Central,11,22,24,0.916666667,0.840277778
218,218,8/6/10,8,6,2010,P1,Central,17,18,24,0.75,0.75
218,218,8/6/10,8,6,2010,P1,Central,18,23,24,0.958333333,0.731359649
218,218,8/6/10,8,6,2010,P1,Tortugas,19,12,24,0.5,0.416666667
218,218,8/6/10,8,6,2010,P1,Tortugas,20,4,24,0.166666667,0.166666667
218,218,8/6/10,8,6,2010,P1,Tortugas,21,24,24,1,1
219,219,8/7/10,8,7,2010,P1,West,1,20,24,0.833333333,0.791666667
219,219,8/7/10,8,7,2010,P1,West,2,13,24,0.541666667,0.440104167
