Julian_Date,Date,Month,Day,Year,Season,Region,Site_HF,Hours_Presence,DayHr,Proportion_Presence,CorrPres,CorArcsin
173,06/22/10,6,22,2010,10summer,Central,6,NA,NA,NA,NA,NA
174,06/23/10,6,23,2010,10summer,Central,6,NA,NA,NA,NA,NA
175,06/24/10,6,24,2010,10summer,Central,6,NA,NA,NA,NA,NA
176,06/25/10,6,25,2010,10summer,Central,6,NA,NA,NA,NA,NA
177,06/26/10,6,26,2010,10summer,Central,6,NA,NA,NA,NA,NA
178,06/27/10,6,27,2010,10summer,Central,6,NA,NA,NA,NA,NA
179,06/28/10,6,28,2010,10summer,Central,6,NA,NA,NA,NA,NA
180,06/29/10,6,29,2010,10summer,Central,6,NA,NA,NA,NA,NA
181,06/30/10,6,30,2010,10summer,Central,6,NA,NA,NA,NA,NA
182,07/01/10,7,1,2010,10summer,Central,6,NA,NA,NA,NA,NA
183,07/02/10,7,2,2010,10summer,Central,6,NA,NA,NA,NA,NA
184,07/03/10,7,3,2010,10summer,Central,6,NA,NA,NA,NA,NA
185,07/04/10,7,4,2010,10summer,Central,6,NA,NA,NA,NA,NA
186,07/05/10,7,5,2010,10summer,Central,6,NA,NA,NA,NA,NA
187,07/06/10,7,6,2010,10summer,Central,6,NA,NA,NA,NA,NA
188,07/07/10,7,7,2010,10summer,Central,6,16,24,0.666666667,0.666666667,0.955316618
189,07/08/10,7,8,2010,10summer,Central,6,24,24,1,1,1.570796327
190,07/09/10,7,9,2010,10summer,Central,6,23,24,0.958333333,0.958333333,1.365227396
191,07/10/10,7,10,2010,10summer,Central,6,23,24,0.958333333,0.958333333,1.365227396
192,07/11/10,7,11,2010,10summer,Central,6,24,24,1,1,1.570796327
193,07/12/10,7,12,2010,10summer,Central,6,24,24,1,1,1.570796327
194,07/13/10,7,13,2010,10summer,Central,6,11,24,0.458333333,0.458333333,0.74368312
195,07/14/10,7,14,2010,10summer,Central,6,12,24,0.5,0.5,0.785398163
196,07/15/10,7,15,2010,10summer,Central,6,19,24,0.791666667,0.791666667,1.096811456
197,07/16/10,7,16,2010,10summer,Central,6,24,24,1,1,1.570796327
198,07/17/10,7,17,2010,10summer,Central,6,24,24,1,1,1.570796327
199,07/18/10,7,18,2010,10summer,Central,6,21,24,0.875,0.875,1.209429203
200,07/19/10,7,19,2010,10summer,Central,6,21,24,0.875,0.875,1.209429203
201,07/20/10,7,20,2010,10summer,Central,6,24,24,1,1,1.570796327
202,07/21/10,7,21,2010,10summer,Central,6,23,24,0.958333333,0.958333333,1.365227396
203,07/22/10,7,22,2010,10summer,Central,6,23,24,0.958333333,0.958333333,1.365227396
204,07/23/10,7,23,2010,10summer,Central,6,21,24,0.875,0.875,1.209429203
205,07/24/10,7,24,2010,10summer,Central,6,24,24,1,1,1.570796327
206,07/25/10,7,25,2010,10summer,Central,6,23,24,0.958333333,0.958333333,1.365227396
207,07/26/10,7,26,2010,10summer,Central,6,21,24,0.875,0.875,1.209429203
208,07/27/10,7,27,2010,10summer,Central,6,20,24,0.833333333,0.833333333,1.150261992
209,07/28/10,7,28,2010,10summer,Central,6,23,24,0.958333333,0.958333333,1.365227396
210,07/29/10,7,29,2010,10summer,Central,6,20,24,0.833333333,0.833333333,1.150261992
211,07/30/10,7,30,2010,10summer,Central,6,24,24,1,1,1.570796327
212,07/31/10,7,31,2010,10summer,Central,6,17,24,0.708333333,0.708333333,1.000285879
213,08/01/10,8,1,2010,10summer,Central,6,24,24,1,1,1.570796327
214,08/02/10,8,2,2010,10summer,Central,6,19,24,0.791666667,0.791666667,1.096811456
215,08/03/10,8,3,2010,10summer,Central,6,12,24,0.5,0.5,0.785398163
216,08/04/10,8,4,2010,10summer,Central,6,12,24,0.5,0.5,0.785398163
217,08/05/10,8,5,2010,10summer,Central,6,22,24,0.916666667,0.916666667,1.277953555
218,08/06/10,8,6,2010,10summer,Central,6,19,24,0.791666667,0.791666667,1.096811456
219,08/07/10,8,7,2010,10summer,Central,6,24,24,1,1,1.570796327
220,08/08/10,8,8,2010,10summer,Central,6,23,24,0.958333333,0.958333333,1.365227396
221,08/09/10,8,9,2010,10summer,Central,6,22,24,0.916666667,0.916666667,1.277953555
222,08/10/10,8,10,2010,10summer,Central,6,24,24,1,1,1.570796327
223,08/11/10,8,11,2010,10summer,Central,6,23,24,0.958333333,0.958333333,1.365227396
224,08/12/10,8,12,2010,10summer,Central,6,24,24,1,1,1.570796327
225,08/13/10,8,13,2010,10summer,Central,6,23,24,0.958333333,0.958333333,1.365227396
226,08/14/10,8,14,2010,10summer,Central,6,24,24,1,1,1.570796327
227,08/15/10,8,15,2010,10summer,Central,6,24,24,1,1,1.570796327
228,08/16/10,8,16,2010,10summer,Central,6,24,24,1,1,1.570796327
229,08/17/10,8,17,2010,10summer,Central,6,24,24,1,1,1.570796327
230,08/18/10,8,18,2010,10summer,Central,6,23,24,0.958333333,0.958333333,1.365227396
231,08/19/10,8,19,2010,10summer,Central,6,23,24,0.958333333,0.958333333,1.365227396
232,08/20/10,8,20,2010,10summer,Central,6,24,24,1,1,1.570796327
233,08/21/10,8,21,2010,10summer,Central,6,20,24,0.833333333,0.833333333,1.150261992
234,08/22/10,8,22,2010,10summer,Central,6,17,24,0.708333333,0.708333333,1.000285879
235,08/23/10,8,23,2010,10summer,Central,6,22,24,0.916666667,0.916666667,1.277953555
236,08/24/10,8,24,2010,10summer,Central,6,17,24,0.708333333,0.708333333,1.000285879
237,08/25/10,8,25,2010,10summer,Central,6,19,24,0.791666667,0.791666667,1.096811456
238,08/26/10,8,26,2010,10summer,Central,6,12,24,0.5,0.5,0.785398163
239,08/27/10,8,27,2010,10summer,Central,6,5,24,0.208333333,0.208333333,0.473984871
240,08/28/10,8,28,2010,10summer,Central,6,11,24,0.458333333,0.458333333,0.74368312
241,08/29/10,8,29,2010,10summer,Central,6,17,24,0.708333333,0.708333333,1.000285879
242,08/30/10,8,30,2010,10summer,Central,6,16,24,0.666666667,0.666666667,0.955316618
243,08/31/10,8,31,2010,10summer,Central,6,18,24,0.75,0.75,1.047197551
244,09/01/10,9,1,2010,10summer,Central,6,16,24,0.666666667,0.666666667,0.955316618
245,09/02/10,9,2,2010,10summer,Central,6,10,24,0.416666667,0.416666667,0.701674124
246,09/03/10,9,3,2010,10summer,Central,6,11,24,0.458333333,0.458333333,0.74368312
247,09/04/10,9,4,2010,10summer,Central,6,11,24,0.458333333,0.458333333,0.74368312
248,09/05/10,9,5,2010,10summer,Central,6,12,24,0.5,0.5,0.785398163
249,09/06/10,9,6,2010,10summer,Central,6,17,24,0.708333333,0.708333333,1.000285879
250,09/07/10,9,7,2010,10summer,Central,6,23,24,0.958333333,0.958333333,1.365227396
251,09/08/10,9,8,2010,10summer,Central,6,12,24,0.5,0.5,0.785398163
252,09/09/10,9,9,2010,10summer,Central,6,13,24,0.541666667,0.541666667,0.827113207
253,09/10/10,9,10,2010,10summer,Central,6,8,24,0.333333333,0.333333333,0.615479709
254,09/11/10,9,11,2010,10summer,Central,6,16,24,0.666666667,0.666666667,0.955316618
255,09/12/10,9,12,2010,10summer,Central,6,17,24,0.708333333,0.708333333,1.000285879
256,09/13/10,9,13,2010,10summer,Central,6,17,24,0.708333333,0.708333333,1.000285879
257,09/14/10,9,14,2010,10summer,Central,6,21,24,0.875,0.875,1.209429203
258,09/15/10,9,15,2010,10summer,Central,6,21,24,0.875,0.875,1.209429203
259,09/16/10,9,16,2010,10summer,Central,6,19,24,0.791666667,0.791666667,1.096811456
260,09/17/10,9,17,2010,10summer,Central,6,18,24,0.75,0.75,1.047197551
261,09/18/10,9,18,2010,10summer,Central,6,24,24,1,1,1.570796327
262,09/19/10,9,19,2010,10summer,Central,6,19,24,0.791666667,0.791666667,1.096811456
263,09/20/10,9,20,2010,10summer,Central,6,6,24,0.25,0.25,0.523598776
264,09/21/10,9,21,2010,10summer,Central,6,11,24,0.458333333,0.458333333,0.74368312
265,09/22/10,9,22,2010,10summer,Central,6,15,24,0.625,0.625,0.911738291
266,09/23/10,9,23,2010,10summer,Central,6,14,24,0.583333333,0.583333333,0.869122203
267,09/24/10,9,24,2010,10summer,Central,6,13,24,0.541666667,0.541666667,0.827113207
268,09/25/10,9,25,2010,10summer,Central,6,5,24,0.208333333,0.208333333,0.473984871
269,09/26/10,9,26,2010,10summer,Central,6,21,24,0.875,0.875,1.209429203
270,09/27/10,9,27,2010,10summer,Central,6,5,24,0.208333333,0.208333333,0.473984871
271,09/28/10,9,28,2010,10summer,Central,6,9,24,0.375,0.375,0.659058036
272,09/29/10,9,29,2010,10summer,Central,6,23,24,0.958333333,0.958333333,1.365227396
273,09/30/10,9,30,2010,10summer,Central,6,1,24,0.041666667,0.041666667,0.205568931
274,10/01/10,10,1,2010,10summer,Central,6,3,24,0.125,0.125,0.361367124
275,10/02/10,10,2,2010,10summer,Central,6,14,24,0.583333333,0.583333333,0.869122203
276,10/03/10,10,3,2010,10summer,Central,6,7,24,0.291666667,0.291666667,0.570510448
277,10/04/10,10,4,2010,10summer,Central,6,9,24,0.375,0.375,0.659058036
278,10/05/10,10,5,2010,10summer,Central,6,10,24,0.416666667,0.416666667,0.701674124
279,10/06/10,10,6,2010,10summer,Central,6,4,24,0.166666667,0.166666667,0.420534335
280,10/07/10,10,7,2010,10summer,Central,6,16,24,0.666666667,0.666666667,0.955316618
281,10/08/10,10,8,2010,10summer,Central,6,9,24,0.375,0.375,0.659058036
282,10/09/10,10,9,2010,10summer,Central,6,16,24,0.666666667,0.666666667,0.955316618
283,10/10/10,10,10,2010,10summer,Central,6,18,24,0.75,0.75,1.047197551
284,10/11/10,10,11,2010,10summer,Central,6,12,24,0.5,0.5,0.785398163
285,10/12/10,10,12,2010,10summer,Central,6,14,24,0.583333333,0.583333333,0.869122203
286,10/13/10,10,13,2010,10summer,Central,6,9,24,0.375,0.375,0.659058036
287,10/14/10,10,14,2010,10summer,Central,6,8,24,0.333333333,0.333333333,0.615479709
